"JOB_ID","JOB_TYPE","DEPTH_M","DIAMETER_MM","MATERIAL","LENGTH_M","JOB_COST","zDEPTH","zDIAMETER","zLENGTH"
"Job 3","Repair",3.64,450,"ST",15.17,16871.48485,1.14499075959883,3.55730411952691,-1.09513280092552
"Job 19","Repair",2.72,450,"CI",19.72,16618.3541,0.0556526309587223,3.55730411952691,-0.594818239435417
"Job 88","Replace",4.3,450,"CI",38.74,85860.133,1.92647246057977,3.55730411952691,1.49660658683749
"Job 134","Replace",2.19,450,"CI",18.82,27822.32796,-0.571900856192643,3.55730411952691,-0.693781559290602
"Job 187","Replace",1.92,450,"AC",19.6,28762.93203,-0.891597915684847,3.55730411952691,-0.608013348749442
"Job 211","Repair",2.11,450,"CI",37.35,15630.64849,-0.666625910857,3.55730411952691,1.34376323728337
"Job 232","Replace",3.3,450,"ST",27.73,50217.93125,0.74240927727531,3.55730411952691,0.285955307275727
"Job 247","Repair",1.96,450,"CI",19,11026.78666,-0.844235388352669,3.55730411952691,-0.673988895319565
"Job 269","Replace",2.18,450,"AC",18.82,33259.45895,-0.583741488025687,3.55730411952691,-0.693781559290602
"Job 297","Replace",2.15,450,"AC",28.97,37783.54954,-0.619263383524821,3.55730411952691,0.422304770187314
"Job 349","Repair",3.47,450,"ST",27.03,19458.06223,0.943700018437069,3.55730411952691,0.20898383627725
"Job 359","Replace",3.06,450,"AC",30.7,59740.05139,0.458234113282239,3.55730411952691,0.612534262797836
"Job 372","Repair",3.6,450,"AC",17.99,15604.3141,1.09762823226665,3.55730411952691,-0.785047732045939
"Job 389","Replace",1.94,450,"AC",31.73,33412.53632,-0.867916652018758,3.55730411952691,0.725792284409881
"Job 450","Replace",2.33,450,"AC",37.98,43439.70143,-0.406132010530018,3.55730411952691,1.413037561182
"Job 473","Replace",2.52,450,"AC",13.73,30519.7709,-0.18116000570217,3.55730411952691,-1.25347411269381
"Job 540","Repair",4.01,450,"CI",37.38,24946.83642,1.58309413742148,3.55730411952691,1.34706201461187
"Job 572","Replace",1.37,450,"ST",13.21,16748.81471,-1.5428326665023,3.55730411952691,-1.31065291972125
"Job 591","Replace",2.59,450,"CI",22.8,37894.99592,-0.0982755828708581,3.55730411952691,-0.256143767042118
"Job 618","Replace",1.9,450,"CI",42.94,41292.11243,-0.915279179350937,3.55730411952691,1.95843541282835
"Job 687","Repair",2.75,450,"AC",22.97,12846.09963,0.091174526457856,3.55730411952691,-0.237450695513917
